municipio,populacaoAtendida,produzida,tratada,consumido
314140,15065,585.45,584.77,549.81
314225,1146,65.2,0,59.79
314270,8578,595.17,595.17,427.1
314290,12416,856.25,856.25,596.37
314315,3496,115.47,108.61,69.25
314345,3061,154.91,154.91,117.23
314465,2753,264.92,264.92,132.48
314505,4200,314.26,314.26,254.69
314530,12482,570.79,560.42,426.66
314537,5013,177.5,0,136.23
314625,4907,185.14,145.58,145.58
314630,10793,723.62,723.62,441.15
314655,1564,100.31,0,86.06
314795,2146,132.22,0,93.88
314870,18867,1125.29,1125.29,699.94
314915,5850,278.01,278.01,219.99
315217,7254,264.92,217.14,190.28
315220,19900,1610.89,1578.29,1284.3
315450,3719,194.34,11.99,159.04
315560,10725,556.15,556.15,431.05
315650,6398,221.57,162.37,162.37
315660,6738,286.81,286.81,272.47
315700,38487,2286.32,2137.27,1588.99
315710,5539,325.99,325.99,273.8
315737,2674,77.8,68.26,50.11
315810,3819,204.58,198.35,139.09
316045,1565,77.84,0,67.04
316240,6344,407.92,0,294.44
316245,2337,179.27,0,138.73
316270,10789,566.43,566.43,464.4
316695,1840,98.44,98.44,87.17
316800,24527,1156.21,1099.61,947.98
317065,2552,119.12,119.12,98.16
317090,9057,491.12,0,445.91
317103,4967,266.57,246.66,207
317160,8889,496.97,496.97,392
