municipio,tratado
314537,22.03
314625,18.59
314630,NA
314655,NA
314795,NA
314870,490.64
314915,NA
315217,NA
315220,264.77
315450,81.88
315560,93.75
315650,47.38
315660,NA
315700,929.42
315710,NA
315737,36.63
315810,0
316045,47.62
316240,36.7
316245,NA
316270,167.68
316695,NA
316800,263.81
317065,NA
317090,41.11
317103,NA
317160,0
